titulo,link
Reino Unido aprova vacina contra Covid e diz que começará a imunizar população na semana que vem,https://www1.folha.uol.com.br/equilibrioesaude/2020/12/reino-unido-aprova-vacina-contra-covid-da-pfizer-e-diz-que-comecara-a-imunizar-populacao-na-semana-que-vem.shtml
"
                    Grupo invade cidade no Pará, faz reféns e ataca banco; um morre
        ",https://www1.folha.uol.com.br/cotidiano/2020/12/cameta-no-para-e-alvo-de-quadrilha-de-assaltantes-um-dia-apos-acao-violenta-em-criciuma-sc.shtml
"
                    PSDB tem de se sentar à mesa principal, mas pode abrir mão de SP em 2022, diz Doria
        ",https://www1.folha.uol.com.br/poder/2020/12/combate-a-covid-e-ativo-eleitoral-e-psdb-deve-sentar-na-mesa-principal-para-2022-diz-doria.shtml
"
                    Conta de luz de Itaipu financia estradas, sede do Itamaraty e até vitrais
        ",https://www1.folha.uol.com.br/mercado/2020/12/conta-paga-a-itaipu-financia-estradas-sede-do-itamaraty-e-ate-vitrais.shtml
"
                     Toffoli diz que política de Bolsonaro 'fragiliza inclusão de deficientes' e suspende decreto
        ",https://www1.folha.uol.com.br/educacao/2020/12/toffoli-diz-que-politica-de-educacao-de-bolsonaro-fragiliza-inclusao-de-deficientes-e-suspende-decreto.shtml
"
                    Brasil deve ter crescimento recorde no 3º trimestre, mas ainda não volta ao nível pré-crise
        ",https://www1.folha.uol.com.br/mercado/2020/12/brasil-deve-ter-crescimento-recorde-no-3o-trimestre-mas-ainda-nao-volta-ao-nivel-pre-crise.shtml
"
                    Aos 26 anos, eleito do PSL em reduto petista tem benção de Luciano Hang
        ",https://www1.folha.uol.com.br/poder/2020/12/aos-26-anos-eleito-do-psl-em-reduto-petista-tem-apoio-de-ministro-denunciado-e-bencao-de-luciano-hang.shtml
"
                    Uma em cada dez Câmaras Municipais terá apenas dois partidos
        ",https://www1.folha.uol.com.br/poder/2020/12/uma-em-cada-dez-camaras-municipais-tera-apenas-dois-partidos.shtml
"
                    Tirania de Cuba nunca caiu, e o mesmo está acontecendo na Venezuela, afirma Álvaro Uribe
        ",https://www1.folha.uol.com.br/mundo/2020/12/tirania-de-cuba-nunca-caiu-e-o-mesmo-esta-acontecendo-na-venezuela-afirma-alvaro-uribe.shtml
"
                    Órgão vota a favor de paridade de gênero, mas só 15% de cotas para negros na OAB
        ",https://www1.folha.uol.com.br/poder/2020/12/orgao-vota-a-favor-de-paridade-de-genero-mas-apenas-15-de-cotas-para-negros-em-disputa-eleitoral-na-oab.shtml
